À½Àý   ÃâÇöÈ½¼ö   ¹éºÐÀ²   ´©Àû¹éºÐÀ²
º®       4657     0.0149    40.6763
º¯      34716     0.1111    40.7874
º°      17535     0.0561    40.8435
º±        439     0.0014    40.8449
º²        177     0.0006    40.8455
º³         31     0.0001    40.8456
º´      19888     0.0637    40.9093
ºµ        275     0.0009    40.9102
º¶          3     0.0000    40.9102
º¸     159703     0.5113    41.4214
º¹      24386     0.0781    41.4995
ºº        116     0.0004    41.4999
º»      64807     0.2075    41.7074
º¼       8130     0.0260    41.7334
º½       1574     0.0050    41.7384
º¾       5742     0.0184    41.7568
º¿        355     0.0011    41.7580
ºÀ       7104     0.0227    41.7807
ºÁ       1312     0.0042    41.7849
ºÃ        421     0.0013    41.7862
ºÄ          4     0.0000    41.7863
ºÅ          2     0.0000    41.7863
ºÆ         77     0.0002    41.7865
ºÈ         11     0.0000    41.7865
ºÉ         14     0.0000    41.7866
ºÊ          1     0.0000    41.7866
ºË         40     0.0001    41.7867
ºÌ          8     0.0000    41.7867
ºÍ          1     0.0000    41.7867
ºÎ     188768     0.6043    42.3911
ºÏ      34607     0.1108    42.5019
ºÐ      96897     0.3102    42.8121
ºÑ          9     0.0000    42.8121
ºÒ      41579     0.1331    42.9452
ºÓ       1184     0.0038    42.9490
ºÕ        335     0.0011    42.9501
ºÖ         10     0.0000    42.9501
º×        456     0.0015    42.9516
ºØ       2146     0.0069    42.9584
ºÙ       4802     0.0154    42.9738
ºÛ          1     0.0000    42.9738
ºÞ          1     0.0000    42.9738
ºß        101     0.0003    42.9741
ºâ          2     0.0000    42.9742
ºä       1102     0.0035    42.9777
ºå         18     0.0001    42.9777
ºæ         13     0.0000    42.9778
ºç         15     0.0000    42.9778
ºê       6435     0.0206    42.9984
ºë          1     0.0000    42.9984
ºì        250     0.0008    42.9992
ºí       2909     0.0093    43.0085
ºñ      98382     0.3150    43.3235
ºò        195     0.0006    43.3241
ºó       4668     0.0149    43.3391
ºô       2348     0.0075    43.3466
ºõ          1     0.0000    43.3466
ºö        378     0.0012    43.3478
º÷         12     0.0000    43.3478
ºø        899     0.0029    43.3507
ºù       1274     0.0041    43.3548
ºú       2121     0.0068    43.3616
ºû       2946     0.0094    43.3710
ºü       5968     0.0191    43.3901
ºý         61     0.0002    43.3903
ºþ        127     0.0004    43.3907
»¡       2889     0.0092    43.4000
»¢          2     0.0000    43.4000
»£         15     0.0000    43.4000
»¥         25     0.0001    43.4001
»¦         63     0.0002    43.4003
»§        404     0.0013    43.4016
»¨         36     0.0001    43.4017
»©       1894     0.0061    43.4078
»ª        121     0.0004    43.4082
»«        203     0.0006    43.4088
»¬        121     0.0004    43.4092
»­         37     0.0001    43.4093
»¯        103     0.0003    43.4097
»°         17     0.0001    43.4097
»±         63     0.0002    43.4099
»²          1     0.0000    43.4099
»´        100     0.0003    43.4102
»µ        403     0.0013    43.4115
»¶         61     0.0002    43.4117
»·        599     0.0019    43.4136
»¸        679     0.0022    43.4158
»¹         64     0.0002    43.4160
»º          1     0.0000    43.4160
»»         39     0.0001    43.4162
»¼         47     0.0002    43.4163
»½         39     0.0001    43.4164
»¾          4     0.0000    43.4164
»¿          6     0.0000    43.4165
»À       1095     0.0035    43.4200
»Á         51     0.0002    43.4201
»Â         27     0.0001    43.4202
»Ä         45     0.0001    43.4204
»Æ          1     0.0000    43.4204
»Ç         61     0.0002    43.4206
»É          3     0.0000    43.4206
»Ë         74     0.0002    43.4208
»Ì       1407     0.0045    43.4253
»Í        235     0.0008    43.4261
»Ï        217     0.0007    43.4268
»Ð          1     0.0000    43.4268
»Ñ       3189     0.0102    43.4370
»Ò         46     0.0001    43.4371
»Ó      10083     0.0323    43.4694
»Ô        589     0.0019    43.4713
»Õ        252     0.0008    43.4721
»Ø          1     0.0000    43.4721
»Ú        943     0.0030    43.4751
»Û       1042     0.0033    43.4784
»Ü         90     0.0003    43.4787
»Ý        317     0.0010    43.4798
»Þ         20     0.0001    43.4798
»ß        340     0.0011    43.4809
»à          5     0.0000    43.4809
»á          6     0.0000    43.4809
»å          4     0.0000    43.4810
»æ         12     0.0000    43.4810
»ç     338369     1.0833    44.5643
»è       1715     0.0055    44.5697
»é         76     0.0002    44.5700
»ê     101919     0.3263    44.8963
»ì      22488     0.0720    44.9683
»í          1     0.0000    44.9683
»î       1629     0.0052    44.9735
»ï      17441     0.0558    45.0293
»ð        713     0.0023    45.0316
»ñ        178     0.0006    45.0322
»ò        175     0.0006    45.0327
»ó     163622     0.5238    45.5566
»ô        129     0.0004    45.5570
»õ      24014     0.0769    45.6339
»ö      16909     0.0541    45.6880
»÷        281     0.0009    45.6889
»ø        140     0.0004    45.6893
»ù        614     0.0020    45.6913
»ú          1     0.0000    45.6913
»û         37     0.0001    45.6914
»ü          6     0.0000    45.6914
»ý      93600     0.2997    45.9911
»þ        686     0.0022    45.9933
¼¡          2     0.0000    45.9933
¼¢         35     0.0001    45.9934
¼£        101     0.0003    45.9937
¼¤         97     0.0003    45.9941
¼¥         15     0.0000    45.9941
¼¦         14     0.0000    45.9941
¼§         64     0.0002    45.9943
¼¨         37     0.0001    45.9945
¼­     337438     1.0803    47.0748
¼®      50456     0.1615    47.2363
¼¯       1037     0.0033    47.2396
¼±     105730     0.3385    47.5781
¼²        176     0.0006    47.5787
¼³      58711     0.1880    47.7666
¼´          1     0.0000    47.7666
¼µ          7     0.0000    47.7666
¼¶       5859     0.0188    47.7854
¼·       4228     0.0135    47.7989
¼¸       1612     0.0052    47.8041
¼¹       1545     0.0049    47.8090
¼º     177476     0.5682    48.3772
¼»         57     0.0002    48.3774
¼¼      90453     0.2896    48.6670
¼½        200     0.0006    48.6676
¼¾       4985     0.0160    48.6836
¼¿       1473     0.0047    48.6883
¼À       2461     0.0079    48.6962
¼Á        186     0.0006    48.6968
¼Â       1211     0.0039    48.7007
¼Ã         11     0.0000    48.7007
¼Ä         21     0.0001    48.7008
¼Å       1178     0.0038    48.7045
¼Ç       4191     0.0134    48.7179
¼È        229     0.0007    48.7187
¼É          4     0.0000    48.7187
¼Ë        307     0.0010    48.7197
¼Ì       1830     0.0059    48.7255
¼Í         11     0.0000    48.7256
¼Î        457     0.0015    48.7270
¼Ï         18     0.0001    48.7271
¼Ð         55     0.0002    48.7273
¼Ò     133720     0.4281    49.1554
¼Ó      57361     0.1836    49.3390
¼Ô         32     0.0001    49.3391
¼Õ      14659     0.0469    49.3860
¼Ö       2183     0.0070    49.3930
¼Ø        435     0.0014    49.3944
¼Ù         41     0.0001    49.3945
¼Ú        732     0.0023    49.3969
¼Û      14822     0.0475    49.4443
¼Ü        297     0.0010    49.4453
¼Ý          7     0.0000    49.4453
¼ß          3     0.0000    49.4453
¼á          1     0.0000    49.4453
¼â       3552     0.0114    49.4567
¼è       2592     0.0083    49.4650
¼é          8     0.0000    49.4650
¼í         48     0.0002    49.4652
¼î        959     0.0031    49.4682
¼ï         18     0.0001    49.4683
¼ð         28     0.0001    49.4684
¼ñ         21     0.0001    49.4685
¼ò          8     0.0000    49.4685
¼ó         72     0.0002    49.4687
¼ô          5     0.0000    49.4687
¼õ          6     0.0000    49.4687
¼ö     254804     0.8157    50.2845
¼÷       5497     0.0176    50.3021
¼ø      17761     0.0569    50.3589
¼ù         80     0.0003    50.3592
¼ú      51850     0.1660    50.5252
¼û       3275     0.0105    50.5357
¼ü          5     0.0000    50.5357
¼ý       1241     0.0040    50.5397
¼þ       1490     0.0048    50.5444
½¡        123     0.0004    50.5448
½¢        269     0.0009    50.5457
½£        625     0.0020    50.5477
½¤         30     0.0001    50.5478
½¥          7     0.0000    50.5478
½¦         60     0.0002    50.5480
½¨          3     0.0000    50.5480
½©        125     0.0004    50.5484
½ª          1     0.0000    50.5484
½«         11     0.0000    50.5485
½¬       2680     0.0086    50.5570
½®        101     0.0003    50.5574
½¯        150     0.0005    50.5578
½°         46     0.0001    50.5580
½±       3507     0.0112    50.5692
½²          3     0.0000    50.5692
½³         47     0.0002    50.5694
½´       1975     0.0063    50.5757
½¶        295     0.0009    50.5766
½·        720     0.0023    50.5789
½¸         86     0.0003    50.5792
½¹          5     0.0000    50.5792
½º     128014     0.4098    50.9891
½»         31     0.0001    50.9892
½¼       3387     0.0108    51.0000
½½       6143     0.0197    51.0197
½¾        233     0.0007    51.0204
½¿       2169     0.0069    51.0274
½À      26372     0.0844    51.1118
½Á       1857     0.0059    51.1177
½Â      15993     0.0512    51.1689
½Ã     253080     0.8102    51.9792
½Ä      63810     0.2043    52.1834
½Å     100765     0.3226    52.5060
½Æ        274     0.0009    52.5069
½Ç      84453     0.2704    52.7773
½È        825     0.0026    52.7799
½É      41348     0.1324    52.9123
½Ê       4406     0.0141    52.9264
½Ë        136     0.0004    52.9268
½Ì       2865     0.0092    52.9360
½Í       5368     0.0172    52.9532
½Î       5729     0.0183    52.9715
½Ï        698     0.0022    52.9738
½Ð          1     0.0000    52.9738
½Ñ       1536     0.0049    52.9787
½Ò       3037     0.0097    52.9884
½Ó        167     0.0005    52.9890
½Ô          5     0.0000    52.9890
½Õ         25     0.0001    52.9890
½Ö       2303     0.0074    52.9964
½×       1557     0.0050    53.0014
½Ø         19     0.0001    53.0015
½Ù          3     0.0000    53.0015
½Ú         14     0.0000    53.0015
½Û          1     0.0000    53.0015
½Ü          1     0.0000    53.0015
½ß          8     0.0000    53.0016
½à          7     0.0000    53.0016
½á      14962     0.0479    53.0495
½â        752     0.0024    53.0519
½ã        174     0.0006    53.0524
½ä        272     0.0009    53.0533
½ç        102     0.0003    53.0536
½è       1125     0.0036    53.0572
½é        303     0.0010    53.0582
½ê        100     0.0003    53.0585
½ë         14     0.0000    53.0586
½ì          8     0.0000    53.0586
½í          1     0.0000    53.0586
½î        502     0.0016    53.0602
½ï         10     0.0000    53.0602
½ð         79     0.0003    53.0605
½ñ        950     0.0030    53.0635
½ò        302     0.0010    53.0645
½õ          1     0.0000    53.0645
½ö         34     0.0001    53.0646
½÷         37     0.0001    53.0647
½û         83     0.0003    53.0650
½ý         33     0.0001    53.0651
½þ          3     0.0000    53.0651
¾¢          1     0.0000    53.0651
¾¤         14     0.0000    53.0652
¾¥        395     0.0013    53.0664
¾¦        389     0.0012    53.0677
¾§         31     0.0001    53.0678
¾¨          1     0.0000    53.0678
¾©          1     0.0000    53.0678
¾«         11     0.0000    53.0678
¾¬          1     0.0000    53.0678
¾®          3     0.0000    53.0678
¾¯          4     0.0000    53.0678
¾°          1     0.0000    53.0678
¾±          1     0.0000    53.0678
¾²      13499     0.0432    53.1111
¾³         46     0.0001    53.1112
¾´       1933     0.0062    53.1174
¾µ       2008     0.0064    53.1238
¾·          1     0.0000    53.1238
¾¸       1593     0.0051    53.1289
¾¹        141     0.0005    53.1294
¾º        414     0.0013    53.1307
¾¾      14473     0.0463    53.1770
¾¿       4061     0.0130    53.1900
¾À       1400     0.0045    53.1945
¾Á         23     0.0001    53.1946
¾Â         43     0.0001    53.1947
¾Ã        186     0.0006    53.1953
¾Ä        699     0.0022    53.1976
¾Å         18     0.0001    53.1976
¾Æ     180612     0.5782    53.7758
¾Ç      14572     0.0467    53.8225
¾È      75312     0.2411    54.0636
¾É       2499     0.0080    54.0716
¾Ê      48663     0.1558    54.2274
¾Ë      30423     0.0974    54.3248
¾Í         85     0.0003    54.3251
¾Î        451     0.0014    54.3265
¾Ï       9387     0.0301    54.3566
¾Ð      11953     0.0383    54.3948
¾Ñ       1276     0.0041    54.3989
¾Ò      22160     0.0709    54.4699
¾Ó       5668     0.0181    54.4880
¾Ô          5     0.0000    54.4880
¾Õ      16213     0.0519    54.5399
¾Ö       9157     0.0293    54.5692
¾×      10744     0.0344    54.6036
¾Ø        518     0.0017    54.6053
¾Ù        276     0.0009    54.6062
¾Ú         93     0.0003    54.6065
¾Û         11     0.0000    54.6065
¾Ü         20     0.0001    54.6066
¾Ý         29     0.0001    54.6067
¾Þ        283     0.0009    54.6076
¾ß      74076     0.2371    54.8447
¾à      31141     0.0997    54.9444
¾á        495     0.0016    54.9460
¾â        182     0.0006    54.9466
¾ã        427     0.0014    54.9480
¾ä         65     0.0002    54.9482
¾å          5     0.0000    54.9482
¾æ         58     0.0002    54.9484
¾ç      54808     0.1755    55.1238
¾è        263     0.0008    55.1247
¾é         97     0.0003    55.1250
¾ê       1397     0.0045    55.1295
¾ë          8     0.0000    55.1295
¾î     240951     0.7714    55.9009
¾ï      18277     0.0585    55.9594
¾ð      21047     0.0674    56.0268
¾ñ        398     0.0013    56.0280
¾ò       8501     0.0272    56.0553
¾ó       9009     0.0288    56.0841
¾ô        653     0.0021    56.0862
¾ö       6490     0.0208    56.1070
¾÷      81327     0.2604    56.3673
¾ø      63710     0.2040    56.5713
¾ù       5853     0.0187    56.5900
¾ú      82308     0.2635    56.8535
¾û       1071     0.0034    56.8570
¾ü        248     0.0008    56.8578
¾ý        283     0.0009    56.8587
¾þ        389     0.0012    56.8599
¿¡     627333     2.0084    58.8683
¿¢       1079     0.0035    58.8717
¿£       8211     0.0263    58.8980
¿¤       2579     0.0083    58.9063
¿¥        179     0.0006    58.9068
¿¦         14     0.0000    58.9069
¿§        121     0.0004    58.9073
¿¨         62     0.0002    58.9075
¿©     160205     0.5129    59.4204
¿ª      49241     0.1576    59.5780
¿«        431     0.0014    59.5794
¿¬     178965     0.5729    60.1523
¿­      31884     0.1021    60.2544
¿®          2     0.0000    60.2544
¿¯        189     0.0006    60.2550
¿°      12038     0.0385    60.2936
¿±       2255     0.0072    60.3008
¿²         81     0.0003    60.3010
¿³        594     0.0019    60.3029
¿´      62618     0.2005    60.5034
¿µ      60754     0.1945    60.6979
¿¶         40     0.0001    60.6980
¿·       1275     0.0041    60.7021
¿¸         36     0.0001    60.7022
¿¹      35605     0.1140    60.8162
¿º         20     0.0001    60.8163
¿»        924     0.0030    60.8192
¿¼          2     0.0000    60.8192
¿¾       3590     0.0115    60.8307
¿¿          3     0.0000    60.8307
¿À      66060     0.2115    61.0422
¿Á       4739     0.0152    61.0574
¿Â      30303     0.0970    61.1544
¿Ã      20711     0.0663    61.2207
¿Ä         20     0.0001    61.2208
¿Å       1946     0.0062    61.2270
¿Æ          1     0.0000    61.2270
¿Ç       1423     0.0046    61.2316
¿È        363     0.0012    61.2327
¿É        330     0.0011    61.2338
¿Ê       2351     0.0075    61.2413
¿Ë       1235     0.0040    61.2453
¿Ì         62     0.0002    61.2455
¿Í      90523     0.2898    61.5353
¿Î         71     0.0002    61.5355
¿Ï      11749     0.0376    61.5731
¿Ð        196     0.0006    61.5737
¿Ó         31     0.0001    61.5738
¿Ô      10359     0.0332    61.6070
¿Õ      10143     0.0325    61.6395
¿Ö       5359     0.0172    61.6566
¿×          3     0.0000    61.6566
¿Ø         61     0.0002    61.6568
¿Ù          4     0.0000    61.6569
¿Û          1     0.0000    61.6569
¿Ü      44467     0.1424    61.7992
¿Ý          2     0.0000    61.7992
¿Þ        853     0.0027    61.8020
¿ß          2     0.0000    61.8020
¿à          1     0.0000    61.8020
¿ä      69066     0.2211    62.0231
¿å       5563     0.0178    62.0409
¿æ         19     0.0001    62.0409
¿ç         14     0.0000    62.0410
¿è          4     0.0000    62.0410
¿é         12     0.0000    62.0410
¿ê          4     0.0000    62.0411
¿ë     121744     0.3898    62.4308
¿ì     121302     0.3883    62.8192
¿í       7043     0.0225    62.8417
¿î      56311     0.1803    63.0220
¿ï      31177     0.0998    63.1218
¿ò      10226     0.0327    63.1545
¿ó         57     0.0002    63.1547
¿ô       3645     0.0117    63.1664
¿õ       2306     0.0074    63.1738
¿ö      12993     0.0416    63.2154
¿÷         88     0.0003    63.2156
¿ø     161526     0.5171    63.7328
¿ù      27352     0.0876    63.8203
¿ú         24     0.0001    63.8204
¿û          2     0.0000    63.8204
¿ü       2284     0.0073    63.8277
¿ý          1     0.0000    63.8277
¿þ       6480     0.0207    63.8485
À¡          6     0.0000    63.8485
À¢        489     0.0016    63.8500
À£        256     0.0008    63.8509
À¥          6     0.0000    63.8509
À§     121570     0.3892    64.2401
À¨         19     0.0001    64.2401
À©        815     0.0026    64.2428
Àª        185     0.0006    64.2433
À«          6     0.0000    64.2434
À¬          1     0.0000    64.2434
À­        581     0.0019    64.2452
À®         84     0.0003    64.2455
À¯     109371     0.3501    64.5956
À°      20880     0.0668    64.6625
À±       7581     0.0243    64.6868
À²      17335     0.0555    64.7423
À³          5     0.0000    64.7423
À´          1     0.0000    64.7423
Àµ          4     0.0000    64.7423
À¶       7493     0.0240    64.7663
À·         47     0.0002    64.7664
À¸     246428     0.7889    65.5554
À¹        103     0.0003    65.5557
Àº     311376     0.9969    66.5525
À»     546243     1.7488    68.3013
À¼        328     0.0011    68.3023
À½      52135     0.1669    68.4693
À¾       3066     0.0098    68.4791
À¿          3     0.0000    68.4791
ÀÀ      23810     0.0762    68.5553
ÀÁ          4     0.0000    68.5553
ÀÂ          4     0.0000    68.5553
ÀÃ          3     0.0000    68.5553
ÀÄ          5     0.0000    68.5554
ÀÅ          3     0.0000    68.5554
ÀÆ          6     0.0000    68.5554
ÀÇ     760722     2.4354    70.9908
ÀÈ         14     0.0000    70.9908
ÀÉ          9     0.0000    70.9909
ÀÊ          1     0.0000    70.9909
ÀÌ     997684     3.1940    74.1849
ÀÍ       8122     0.0260    74.2109
ÀÎ     228483     0.7315    74.9424
ÀÏ     181719     0.5818    75.5241
ÀÐ       2926     0.0094    75.5335
ÀÒ       2275     0.0073    75.5408
ÀÓ      48799     0.1562    75.6970
ÀÔ      49938     0.1599    75.8569
ÀÕ       2127     0.0068    75.8637
ÀÖ     245164     0.7849    76.6486
À×       1331     0.0043    76.6528
ÀØ       1320     0.0042    76.6571
ÀÙ       2609     0.0084    76.6654
ÀÚ     255148     0.8168    77.4823
ÀÛ      48405     0.1550    77.6372
ÀÜ       4083     0.0131    77.6503
ÀÝ        483     0.0015    77.6518
ÀÞ          1     0.0000    77.6518
Àß      13203     0.0423    77.6941
Àá       4697     0.0150    77.7091
Àâ      12974     0.0415    77.7507
Àã        317     0.0010    77.7517
Àä         35     0.0001    77.7518
Àå     148406     0.4751    78.2269
Àæ        422     0.0014    78.2283
Àç      75723     0.2424    78.4707
Àè        478     0.0015    78.4722
Àé         52     0.0002    78.4724
Àê         69     0.0002    78.4726
Àë         72     0.0002    78.4728
Àì         48     0.0002    78.4730
Àí        128     0.0004    78.4734
Àî          6     0.0000    78.4734
Àï      17339     0.0555    78.5289
Àð         44     0.0001    78.5291
Àò          3     0.0000    78.5291
Àó          2     0.0000    78.5291
Àö          2     0.0000    78.5291
À÷          9     0.0000    78.5291
Àø          1     0.0000    78.5291
Àú      37483     0.1200    78.6491
Àû     180659     0.5784    79.2275
Àü     199889     0.6399    79.8674
Àý      25378     0.0812    79.9487
Àþ       2516     0.0081    79.9567
Á¡      38343     0.1228    80.0795
Á¢      16924     0.0542    80.1337
Á£        798     0.0026    80.1362
Á¤     273460     0.8755    81.0117
Á¥       1139     0.0036    81.0153
Á¦     223980     0.7171    81.7324
Á§        494     0.0016    81.7340
Á¨       1393     0.0045    81.7384
Á©       1046     0.0033    81.7418
Áª         12     0.0000    81.7418
Á¬        223     0.0007    81.7425
Á­          1     0.0000    81.7425
Á®      17028     0.0545    81.7971
Á¯        349     0.0011    81.7982
Á°          1     0.0000    81.7982
Á±          3     0.0000    81.7982
Á³      10687     0.0342    81.8324
Á´         10     0.0000    81.8324
Áµ          9     0.0000    81.8325
Á¶     128791     0.4123    82.2448
Á·      18457     0.0591    82.3039
Á¸      16981     0.0544    82.3582
Á¹       2748     0.0088    82.3670
Á»       2341     0.0075    82.3745
Á¼       1279     0.0041    82.3786
Á½          1     0.0000    82.3786
Á¾      54433     0.1743    82.5529
Á¿          2     0.0000    82.5529
ÁÀ        102     0.0003    82.5532
ÁÁ       9290     0.0297    82.5830
ÁÂ       5234     0.0168    82.5997
ÁÆ          1     0.0000    82.5997
ÁÇ          6     0.0000    82.5997
ÁÈ          1     0.0000    82.5997
ÁÊ          2     0.0000    82.5997
ÁË       7068     0.0226    82.6224
ÁÌ         16     0.0001    82.6224
ÁÍ         10     0.0000    82.6225
ÁÎ         12     0.0000    82.6225
ÁÒ        548     0.0018    82.6243
ÁÔ         14     0.0000    82.6243
ÁÕ          2     0.0000    82.6243
ÁÖ     141423     0.4528    83.0771
Á×       8321     0.0266    83.1037
ÁØ      28449     0.0911    83.1948
ÁÙ      13063     0.0418    83.2366
ÁÜ        623     0.0020    83.2386
ÁÝ        228     0.0007    83.2393
ÁÞ        104     0.0003    83.2397
Áß     103639     0.3318    83.5714
Áà        447     0.0014    83.5729
Áá        227     0.0007    83.5736
Áâ          1     0.0000    83.5736
Áã       1689     0.0054    83.5790
Áä          1     0.0000    83.5790
Áå        110     0.0004    83.5794
Áæ         25     0.0001    83.5795
Áç          1     0.0000    83.5795
Áê        183     0.0006    83.5800
Áë          9     0.0000    83.5801
Áì        276     0.0009    83.5810
Áí          3     0.0000    83.5810
Áî       5383     0.0172    83.5982
Áï       4554     0.0146    83.6128
Áð         61     0.0002    83.6130
Áñ       2015     0.0065    83.6194
Áò       6411     0.0205    83.6399
Áó        262     0.0008    83.6408
Áõ      31511     0.1009    83.7417
Áö     394335     1.2624    85.0041
Á÷      41744     0.1336    85.1377
Áø      76522     0.2450    85.3827
Áù         15     0.0000    85.3828
Áú      45465     0.1456    85.5283
Áû         93     0.0003    85.5286
Áü       4614     0.0148    85.5434
Áý      31018     0.0993    85.6427
Áþ       3879     0.0124    85.6551
Â¡       6620     0.0212    85.6763
Â¢        514     0.0016    85.6780
Â£        625     0.0020    85.6800
Â¤        722     0.0023    85.6823
Â¥       3075     0.0098    85.6921
Â¦       1823     0.0058    85.6980
Â§        228     0.0007    85.6987
Â¨         36     0.0001    85.6988
Â©        118     0.0004    85.6992
Âª       1449     0.0046    85.7038
Â«         14     0.0000    85.7039
Â¬         40     0.0001    85.7040
Â­          1     0.0000    85.7040
Â®          7     0.0000    85.7040
Â¯        188     0.0006    85.7046
Â°       8212     0.0263    85.7309
Â±         11     0.0000    85.7309
Â²          1     0.0000    85.7309
Â´          2     0.0000    85.7309
Âµ          1     0.0000    85.7310
Â¶         19     0.0001    85.7310
Â·        232     0.0007    85.7318
Â¸         19     0.0001    85.7318
Â¹          2     0.0000    85.7318
Â¼        885     0.0028    85.7347
Â½        558     0.0018    85.7364
Â¾         92     0.0003    85.7367
Â¿        572     0.0018    85.7386
ÂÀ          3     0.0000    85.7386
ÂÁ         10     0.0000    85.7386
ÂÄ        126     0.0004    85.7390
ÂÅ         21     0.0001    85.7391
ÂÇ         50     0.0002    85.7392
ÂÈ          9     0.0000    85.7393
ÂÉ        304     0.0010    85.7402
ÂÊ      11939     0.0382    85.7785
ÂË          8     0.0000    85.7785
ÂÌ          3     0.0000    85.7785
ÂÏ          2     0.0000    85.7785
ÂÐ         23     0.0001    85.7786
ÂÑ        951     0.0030    85.7816
ÂÒ          2     0.0000    85.7816
ÂÓ          9     0.0000    85.7817
ÂØ        131     0.0004    85.7821
ÂÙ          6     0.0000    85.7821
ÂÚ         10     0.0000    85.7821
ÂÛ          3     0.0000    85.7821
ÂÝ          1     0.0000    85.7821
ÂÞ        173     0.0006    85.7827
Âß        216     0.0007    85.7834
Âà          1     0.0000    85.7834
Âá         51     0.0002    85.7836
Ââ          1     0.0000    85.7836
Âã         11     0.0000    85.7836
Âä         23     0.0001    85.7837
Âå          5     0.0000    85.7837
Âé          1     0.0000    85.7837
Âê        285     0.0009    85.7846
Âë       2248     0.0072    85.7918
Âì         24     0.0001    85.7919
Âî       2033     0.0065    85.7984
Âï       2215     0.0071    85.8055
Âð         65     0.0002    85.8057
Âñ        311     0.0010    85.8067
Âò         78     0.0002    85.8069
Âó          6     0.0000    85.8069
Âô        119     0.0004    85.8073
Âõ        291     0.0009    85.8083
Âö        105     0.0003    85.8086
Â÷      54638     0.1749    85.9835
Âø      11826     0.0379    86.0214
Âù       5862     0.0188    86.0401
Âú        609     0.0019    86.0421
Âû      15195     0.0486    86.0907
Âü      14153     0.0453    86.1360
Âý        122     0.0004    86.1364
Âþ         46     0.0001    86.1366
Ã¡         87     0.0003    86.1369
Ã¢      13727     0.0439    86.1808
Ã£       7768     0.0249    86.2057
Ã¤      14096     0.0451    86.2508
Ã¥      34101     0.1092    86.3600
Ã¦         78     0.0002    86.3602
Ã§         41     0.0001    86.3604
Ã¨         92     0.0003    86.3607
Ã©          2     0.0000    86.3607
Ãª         35     0.0001    86.3608
Ã«         21     0.0001    86.3608
Ã¬        475     0.0015    86.3624
Ã­         34     0.0001    86.3625
Ã®          5     0.0000    86.3625
Ã°          5     0.0000    86.3625
Ã²          1     0.0000    86.3625
Ã³      40970     0.1312    86.4937
Ã´       4703     0.0151    86.5087
Ãµ      39186     0.1255    86.6342
Ã¶      19595     0.0627    86.6969
Ã·       4702     0.0151    86.7120
Ã¸       2174     0.0070    86.7189
Ã¹       4748     0.0152    86.7341
Ãº          2     0.0000    86.7341
Ã»      26462     0.0847    86.8188
Ã¼      80048     0.2563    87.0751
Ã½          5     0.0000    87.0751
Ã¾         36     0.0001    87.0752
Ã¿        126     0.0004    87.0756
ÃÀ         12     0.0000    87.0757
ÃÂ         36     0.0001    87.0758
ÃÃ         10     0.0000    87.0758
ÃÄ      10424     0.0334    87.1092
ÃÅ          8     0.0000    87.1092
ÃÆ       2214     0.0071    87.1163
ÃÇ         14     0.0000    87.1164
ÃÊ      30323     0.0971    87.2134
ÃË       8597     0.0275    87.2410
ÃÌ       3468     0.0111    87.2521
ÃÍ         43     0.0001    87.2522
ÃÎ        120     0.0004    87.2526
ÃÐ        330     0.0011    87.2536
ÃÑ      19142     0.0613    87.3149
ÃÒ          9     0.0000    87.3150
ÃÓ         18     0.0001    87.3150
ÃÔ        412     0.0013    87.3163
ÃÖ      35863     0.1148    87.4311
ÃØ          1     0.0000    87.4311
ÃÝ         55     0.0002    87.4313
Ãß      32564     0.1043    87.5356
Ãà      20684     0.0662    87.6018
Ãá       2955     0.0095    87.6113
Ãâ      40058     0.1282    87.7395
Ãã       1265     0.0040    87.7435
Ãä        118     0.0004    87.7439
Ãå        142     0.0005    87.7444
Ãæ      15535     0.0497    87.7941
Ãç       1063     0.0034    87.7975
Ãè         70     0.0002    87.7977
Ãé        161     0.0005    87.7983
Ãë      10807     0.0346    87.8329
Ãï         18     0.0001    87.8329
Ãð          2     0.0000    87.8329
Ãò         51     0.0002    87.8331
Ãô          3     0.0000    87.8331
Ãö          1     0.0000    87.8331
Ã÷       2281     0.0073    87.8404
Ãø      22035     0.0705    87.9109
Ãù          2     0.0000    87.9109
Ãú         13     0.0000    87.9110
Ãû        168     0.0005    87.9115
Ãþ      11387     0.0365    87.9480
Ä¡     100947     0.3232    88.2712
Ä¢       5895     0.0189    88.2900
Ä£      11228     0.0359    88.3260
Ä¥       4502     0.0144    88.3404
Ä¦         36     0.0001    88.3405
Ä§      15896     0.0509    88.3914
Ä¨        937     0.0030    88.3944
Ä©        623     0.0020    88.3964
Äª       3704     0.0119    88.4082
Ä«      14660     0.0469    88.4552
Ä¬         83     0.0003    88.4554
Ä­       1029     0.0033    88.4587
Ä®       6405     0.0205    88.4792
Ä¯        644     0.0021    88.4813
Ä°         22     0.0001    88.4814
Ä±          3     0.0000    88.4814
Ä²         48     0.0002    88.4815
Ä³       2518     0.0081    88.4896
Ä´          3     0.0000    88.4896
Äµ        431     0.0014    88.4910
Ä¶        357     0.0011    88.4921
Ä·       1247     0.0040    88.4961
Ä¸        156     0.0005    88.4966
Ä¹          2     0.0000    88.4966
Äº          7     0.0000    88.4967
Ä»          8     0.0000    88.4967
Ä¼         30     0.0001    88.4968
Ä¿       6364     0.0204    88.5171
ÄÀ         53     0.0002    88.5173
ÄÁ       1720     0.0055    88.5228
